timestamp,magnet_x (uT),magnet_y (uT),magnet_z (uT)
2024-06-23T18:22:56.174144,-25.9375,-57.8125,-50.0625
2024-06-23T18:22:57.188029,-25.5625,-59.6875,-47.6875
2024-06-23T18:22:58.241451,-25.5625,-60.0625,-52.9375
2024-06-23T18:22:59.299380,-27.0625,-60.0625,-48.5
2024-06-23T18:23:28.811699,-27.8125,-59.6875,-49.25
2024-06-23T18:23:29.826320,-27.4375,-59.6875,-48.875
2024-06-23T18:23:30.897902,-28.1875,-59.3125,-49.3125
2024-06-23T18:23:31.973091,-27.8125,-58.9375,-52.9375
2024-06-23T18:23:33.032405,-25.9375,-58.5625,-53.0
2024-06-23T18:23:34.098829,-25.9375,-60.0625,-48.5
2024-06-23T18:23:35.151710,-26.6875,-60.4375,-48.9375
2024-06-23T18:23:36.204870,-25.9375,-58.1875,-50.5625
2024-06-23T18:23:37.265130,-26.6875,-60.8125,-49.3125
2024-06-23T18:23:38.339006,-27.4375,-58.9375,-52.1875
2024-06-23T18:23:39.407228,-26.6875,-59.3125,-48.5
2024-06-23T18:23:40.483068,-28.1875,-59.3125,-51.8125
2024-06-23T18:23:41.546757,-26.6875,-60.4375,-52.5625
2024-06-23T18:23:42.600554,-26.3125,-59.6875,-48.5
2024-06-23T18:23:43.648062,-27.4375,-58.5625,-53.0
2024-06-23T18:23:44.711869,-27.0625,-60.0625,-50.1875
2024-06-23T18:25:01.589043,-26.3125,-59.3125,-49.6875
2024-06-23T18:25:02.597459,-26.6875,-58.5625,-52.125
2024-06-23T18:25:03.656801,-27.4375,-59.6875,-52.5625
2024-06-23T18:25:04.730195,-26.6875,-60.0625,-49.3125
2024-06-23T18:25:05.795879,-25.9375,-60.4375,-52.9375
2024-06-23T18:25:06.855829,-25.9375,-59.6875,-50.9375
2024-06-23T18:25:07.928786,-22.25,-41.125,-39.25
2024-06-23T18:25:09.005072,-22.625,-42.25,-41.625
2024-06-23T18:25:10.063812,-21.5,-40.75,-42.0625
2024-06-23T18:25:11.126844,-40.0625,-46.6875,-48.9375
2024-06-23T18:25:12.189734,-38.9375,-14.4375,-60.6875
2024-06-23T18:25:13.250372,-37.0625,-15.5625,-6.875
2024-06-23T18:25:14.311077,-36.6875,-17.375,-8.0625
2024-06-23T18:25:15.365851,-45.625,-20.75,-2.0
2024-06-23T18:25:16.428770,-45.625,-15.5625,-3.625
2024-06-23T18:25:17.503580,-19.625,-41.875,8.0625
2024-06-23T18:25:18.575530,-14.4375,-41.5,0.375
2024-06-23T18:25:19.629469,-39.3125,-17.375,65.125
2024-06-23T18:25:20.682921,-25.9375,19.625,76.5
2024-06-23T18:25:21.737365,-18.5,-23.6875,-16.9375
2024-06-23T18:25:22.805951,-50.8125,31.125,61.0625
2024-06-23T18:25:23.866156,-51.1875,32.625,59.5
2024-06-23T18:25:24.918237,-36.6875,-30.0,9.25
2024-06-23T18:25:25.971688,11.4375,-23.6875,-59.875
2024-06-23T18:25:27.040692,14.4375,-25.1875,-66.3125
2024-06-23T18:25:28.104378,70.8125,-5.1875,-95.4375
2024-06-23T18:25:29.152174,71.1875,-6.25,-99.4375
2024-06-23T19:09:05.235256,72.9375,-7.0,-98.0625
