Time,CPS,uSv/h
2024-07-10 01:31:27,0,0.0
2024-07-10 01:31:28,0,0.0
2024-07-10 01:31:29,0,0.0
2024-07-10 01:31:30,0,0.0
2024-07-10 01:31:31,0,0.0
2024-07-10 01:31:32,0,0.0
2024-07-10 01:31:33,0,0.0
2024-07-10 01:31:34,1,0.00332
2024-07-10 01:31:35,1,0.00332
2024-07-10 01:33:00,0,0.0
2024-07-10 01:33:01,0,0.0
2024-07-10 01:33:02,0,0.0
2024-07-10 01:33:03,1,0.00332
2024-07-10 01:33:04,1,0.00332
2024-07-10 01:33:05,0,0.0
2024-07-10 01:33:06,0,0.0
2024-07-10 01:33:07,0,0.0
2024-07-10 01:33:08,0,0.0
2024-07-10 01:33:09,0,0.0
2024-07-10 01:33:10,0,0.0
2024-07-10 01:33:11,0,0.0
2024-07-10 01:33:12,1,0.00332
2024-07-10 01:33:13,1,0.00332
2024-07-10 01:33:14,0,0.0
2024-07-10 01:33:15,0,0.0
2024-07-10 01:33:16,1,0.00332
2024-07-10 01:33:18,0,0.0
2024-07-10 01:33:19,0,0.0
2024-07-10 01:33:20,0,0.0
2024-07-10 01:33:21,0,0.0
2024-07-10 01:33:22,0,0.0
2024-07-10 01:33:23,0,0.0
2024-07-10 01:33:24,1,0.00332
2024-07-10 01:33:25,0,0.0
2024-07-10 01:33:26,0,0.0
2024-07-10 01:33:27,0,0.0
2024-07-10 01:33:28,0,0.0
2024-07-10 01:33:29,0,0.0
2024-07-10 10:43:18,0,0.0
2024-07-10 10:43:19,0,0.0
2024-07-10 10:43:20,0,0.0
2024-07-10 10:43:21,0,0.0
2024-07-10 10:43:22,0,0.0
2024-07-10 10:43:23,0,0.0
2024-07-10 10:43:24,0,0.0
2024-07-10 10:43:25,0,0.0
2024-07-10 10:43:26,0,0.0
2024-07-10 10:43:27,0,0.0
2024-07-10 10:43:28,0,0.0
2024-07-10 10:43:29,0,0.0
2024-07-10 10:43:30,0,0.0
2024-07-10 10:43:31,1,0.00332
2024-07-10 10:43:32,0,0.0
2024-07-10 10:43:33,0,0.0
2024-07-10 10:43:34,0,0.0
2024-07-10 10:43:35,0,0.0
2024-07-10 10:43:36,0,0.0
2024-07-10 10:43:37,0,0.0
2024-07-10 10:43:38,0,0.0
2024-07-10 10:43:39,2,0.00664
2024-07-10 10:43:40,0,0.0
2024-07-10 10:43:41,1,0.00332
2024-07-10 10:43:42,2,0.00664
2024-07-10 10:43:43,1,0.00332
2024-07-10 10:43:44,1,0.00332
2024-07-10 10:43:45,0,0.0
2024-07-10 10:43:46,0,0.0
2024-07-10 10:43:47,0,0.0
2024-07-10 10:43:49,0,0.0
2024-07-10 10:43:50,0,0.0
2024-07-10 10:43:51,0,0.0
2024-07-10 10:43:52,0,0.0
2024-07-10 10:43:53,0,0.0
2024-07-10 10:43:54,0,0.0
2024-07-10 10:43:55,0,0.0
